Date,Open,High,Low,Close,Adj Close,Volume
8-Aug-16,"2,183.76","2,185.44","2,177.85","2,180.89","2,180.89","3,327,550,000"
5-Aug-16,"2,168.79","2,182.87","2,168.79","2,182.87","2,182.87","3,663,070,000"
4-Aug-16,"2,163.51","2,168.19","2,159.07","2,164.25","2,164.25","3,709,200,000"
3-Aug-16,"2,156.81","2,163.79","2,152.56","2,163.79","2,163.79","3,786,530,000"
2-Aug-16,"2,169.94","2,170.20","2,147.58","2,157.03","2,157.03","3,848,750,000"
1-Aug-16,"2,173.15","2,178.29","2,166.21","2,170.84","2,170.84","3,505,990,000"
29-Jul-16,"2,168.83","2,177.09","2,163.49","2,173.60","2,173.60","4,038,840,000"
28-Jul-16,"2,166.05","2,172.85","2,159.74","2,170.06","2,170.06","3,664,240,000"
27-Jul-16,"2,169.81","2,174.98","2,159.07","2,166.58","2,166.58","3,995,500,000"
26-Jul-16,"2,168.97","2,173.54","2,160.18","2,169.18","2,169.18","3,442,350,000"
25-Jul-16,"2,173.71","2,173.71","2,161.95","2,168.48","2,168.48","3,057,240,000"
22-Jul-16,"2,166.47","2,175.11","2,163.24","2,175.03","2,175.03","3,023,280,000"
21-Jul-16,"2,172.91","2,174.56","2,159.75","2,165.17","2,165.17","3,438,900,000"
20-Jul-16,"2,166.10","2,175.63","2,164.89","2,173.02","2,173.02","3,211,860,000"
19-Jul-16,"2,163.79","2,164.63","2,159.01","2,163.78","2,163.78","2,968,340,000"
18-Jul-16,"2,162.04","2,168.35","2,159.63","2,166.89","2,166.89","3,009,310,000"
15-Jul-16,"2,165.13","2,169.05","2,155.79","2,161.74","2,161.74","3,122,600,000"
14-Jul-16,"2,157.88","2,168.99","2,157.88","2,163.75","2,163.75","3,465,610,000"
13-Jul-16,"2,153.81","2,156.45","2,146.21","2,152.43","2,152.43","3,502,320,000"
12-Jul-16,"2,139.50","2,155.40","2,139.50","2,152.14","2,152.14","4,097,820,000"
11-Jul-16,"2,131.72","2,143.16","2,131.72","2,137.16","2,137.16","3,253,340,000"
8-Jul-16,"2,106.97","2,131.71","2,106.97","2,129.90","2,129.90","3,607,500,000"
7-Jul-16,"2,100.42","2,109.08","2,089.39","2,097.90","2,097.90","3,604,550,000"
6-Jul-16,"2,084.43","2,100.72","2,074.02","2,099.73","2,099.73","3,909,380,000"
5-Jul-16,"2,095.05","2,095.05","2,080.86","2,088.55","2,088.55","3,658,380,000"
1-Jul-16,"2,099.34","2,108.71","2,097.90","2,102.95","2,102.95","3,458,890,000"
30-Jun-16,"2,073.17","2,098.94","2,070.00","2,098.86","2,098.86","4,622,820,000"
29-Jun-16,0,0,0,0,0,-
28-Jun-16,"2,006.67","2,036.09","2,006.67","2,036.09","2,036.09","4,385,810,000"
27-Jun-16,"2,031.45","2,031.45","1,991.68","2,000.54","2,000.54","5,431,220,000"
24-Jun-16,"2,103.81","2,103.81","2,032.57","2,037.41","2,037.41","7,597,450,000"
23-Jun-16,"2,092.80","2,113.32","2,092.80","2,113.32","2,113.32","3,297,940,000"
22-Jun-16,"2,089.75","2,099.71","2,084.36","2,085.45","2,085.45","3,168,160,000"
21-Jun-16,"2,085.19","2,093.66","2,083.02","2,088.90","2,088.90","3,232,880,000"
20-Jun-16,"2,075.58","2,100.66","2,075.58","2,083.25","2,083.25","3,467,440,000"
17-Jun-16,"2,078.20","2,078.20","2,062.84","2,071.22","2,071.22","4,952,630,000"
16-Jun-16,"2,066.36","2,079.62","2,050.37","2,077.99","2,077.99","3,628,280,000"
15-Jun-16,"2,077.60","2,085.65","2,069.80","2,071.50","2,071.50","3,544,720,000"
14-Jun-16,"2,076.65","2,081.30","2,064.10","2,075.32","2,075.32","3,759,770,000"
13-Jun-16,"2,091.75","2,098.12","2,078.46","2,079.06","2,079.06","3,392,030,000"
